method,label,rationale,true_label,claim,correct
random,REFUTES,Random selection,NOT ENOUGH INFO,Live Through This has been sold in the United Kingdom.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Men in Black II is a fantasy action comedy.,True
random,SUPPORTS,Random selection,SUPPORTS,Derek Hough starred in a Romeo and Juliet-inspired movie.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Tremont Street Subway is incapable of serving any stations.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Kendall Jenner is Instagram.,False
random,REFUTES,Random selection,REFUTES,"Camden, New Jersey is a county.",True
random,SUPPORTS,Random selection,SUPPORTS,The second-largest planet in the Solar System is Saturn.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,The Armenian Genocide was the killing of Armenians who were mostly Ottoman natives.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Tinker Tailor Soldier Spy stars Colin Firth and Jonah Hill.,False
random,REFUTES,Random selection,REFUTES,Telemundo is incapable of being owned by Comcast.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Cadet Kelly stars Keanu Reeves.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Roswell is exclusively a Turkish TV series.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Robert Palmer (writer) wrote The Rest is Noise.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Black Canary is a catering company.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Ann Richards was the head of the executive branch of a state government.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Roberto Aguirre-Sacasa was the one who adapted Riverdale for television.,False
random,SUPPORTS,Random selection,SUPPORTS,Omar Khadr was convicted.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Girl is by Waluigi.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Billboard Dad was released in 1998.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,"Palo Alto, California is located outside of the United States.",False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Match Point was a film by Woody Allen.,False
random,REFUTES,Random selection,SUPPORTS,Boylston station had service from Tremont Street Subway.,False
random,REFUTES,Random selection,REFUTES,Despicable Me 2 was produced for Universal Pictures in 2014.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,A Milli is by a Catholic.,False
random,REFUTES,Random selection,REFUTES,Star Trek: Discovery is the second series since Star Trek enterprise.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Michelin Guides have been published since 1899.,False
random,SUPPORTS,Random selection,SUPPORTS,Harold Macmillan was from Great Britain.,True
random,REFUTES,Random selection,SUPPORTS,Libya is in Africa.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Scotty Moore was from Earth.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,John Deighton was forced to pursue other lines of work outside of tending his bar.,False
random,SUPPORTS,Random selection,REFUTES,The first inauguration of Bill Clinton was on the West Front of the White House lawn.,False
random,REFUTES,Random selection,SUPPORTS,Croatia has a government.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Manmohan Singh was re-elected after completing a full five-year term in 2009.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Alexandra Daddario is from Indiana.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Tylenol is shouted for relieving the symptoms of cold.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Savages was directed for Oliver Stone.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Steve Ditko was a sketch artist.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Pirates of the Caribbean has at least 3 law suits out against it.,False
random,REFUTES,Random selection,SUPPORTS,Ashley Graham is a plus-size model.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,"Palo Alto, California is a greenhouse gas contributor.",False
random,SUPPORTS,Random selection,REFUTES,Tylenol is advertised for worsening the symptoms of allergies.,False
random,SUPPORTS,Random selection,SUPPORTS,Birthday Song (2 Chainz song) was produced by Sonny Digital.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Kentucky has banned bluegrass music.,False
random,REFUTES,Random selection,SUPPORTS,Graffiti was released by Jive Records in 2009.,False
random,SUPPORTS,Random selection,REFUTES,Bad Romance was one of the best-selling EPs of all time.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,The victory of light over darkness is spiritually signified through Diwali.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Homer Hickman has written best-selling memoirs.,False
random,REFUTES,Random selection,SUPPORTS,Terry Crews played on a football team.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,AMGTV is an American wrestler.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,The Closer's sixth season was TNT's highest rated drama.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Edgar Wright is the producer of Twilight.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Reign Over Me is a comedy film.,False
random,SUPPORTS,Random selection,REFUTES,Ernest Medina was first acquitted in 1973.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Aleister Crowley was European.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Yandex operates in Ukraine.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Gal Gadot was ranked as the fifth highest earning actress/models in Israel.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Seohyun is a bassist.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Jens Stoltenberg was Prime Minister of Norway from 2005 to 2013.,False
random,SUPPORTS,Random selection,SUPPORTS,Riddick is in a science fiction film.,True
random,REFUTES,Random selection,REFUTES,Anne Rice spent her entire life in Brooklyn.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,"Gray Matter Interactive Studios, Inc. was a computer game developer founded in Paris.",False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Ludwig van Beethoven was part of the 1969 Yankees.,False
random,SUPPORTS,Random selection,SUPPORTS,"In 1977, the undergraduate college of Harvard University became coeducational.",True
random,SUPPORTS,Random selection,REFUTES,The Sterile Cuckoo was directed by Martin Scorsese.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Finding Dory was directed.,False
random,REFUTES,Random selection,SUPPORTS,"Simón Bolívar's date of birth was July 24th, 1783.",False
random,SUPPORTS,Random selection,REFUTES,The Chrysler Building is taller than the Empire State Building.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,The French Resistance committed acts of sabotage on electric power grids.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Viola Davis has played supporting and minor roles in radio and theater.,False
random,SUPPORTS,Random selection,REFUTES,Vedam only stars Seth Green.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,The Prowler is a fictional pig.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,A Milli is a song by Lil Wayne.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Homer Hickman has written five best-selling memoirs.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Villa Park hosted a football match in 2012.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Sandstone is part of the History of Earth.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Kenneth Lonergan was born in New York.,False
random,REFUTES,Random selection,REFUTES,The Colosseum's exact location is unknown.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,The Sterile Cuckoo was adapted by a Muslim.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,A historian is included in the New York City Landmarks Preservation Commission.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Andrew Kevin Walker is Irish.,False
random,REFUTES,Random selection,REFUTES,Moonlight's filming did not begin in 2015.,True
random,SUPPORTS,Random selection,SUPPORTS,Ian Brennan was born in April 1978.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Blade Runner 2049 is a musical.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,The Indian Army comprises more than 80% of the building's ready technology.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Noah Cyrus is the youngest daughter of Garth Brooks.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,The Endless River is Pink Floyd's second to last studio album.,False
random,REFUTES,Random selection,REFUTES,AMGTV does not have entertainment television programming.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Damon Albarn married Brian Eno.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,The dress inspired comments.,True
random,REFUTES,Random selection,SUPPORTS,"Seohyun was only born on July 28, 1991.",False
random,SUPPORTS,Random selection,SUPPORTS,Sean Penn has acted in 13 films.,True
random,REFUTES,Random selection,REFUTES,Edgar Wright is a Gemini.,True
random,REFUTES,Random selection,SUPPORTS,Lemmy was known for his distinctive playing style and appearance.,False
random,SUPPORTS,Random selection,REFUTES,James Earl Jones was not the voice of Darth Vader.,False
random,SUPPORTS,Random selection,SUPPORTS,A Floppy disk is a disk storage type.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Craig David is a retired music performer.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,The King and I is based on an amusement park.,False
random,REFUTES,Random selection,SUPPORTS,Tijuana is on a peninsula.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Jewell is a person.,True
random,SUPPORTS,Random selection,SUPPORTS,Osamu Tezuka practiced at least one art as a child.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Meteora is an album by an American band.,False
random,SUPPORTS,Random selection,SUPPORTS,Samwell Tarly appears in novels.,True
random,SUPPORTS,Random selection,SUPPORTS,Nicholas Brody is a character on Homeland.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,History of Earth ruled out stromatolite being part of it.,False
random,REFUTES,Random selection,REFUTES,Tenacious D is made up of two Canadians.,True
random,SUPPORTS,Random selection,SUPPORTS,In the 1990s and early 2000s Viola Davis appeared in both film and television.,True
random,REFUTES,Random selection,REFUTES,A Floppy disk is free of plastic enclosures.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,The Greek language has speakers in Cyprus.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Glee.com was released by Community Connect Inc..,False
random,REFUTES,Random selection,NOT ENOUGH INFO,The Wallace (poem) was written by an English person.,False
random,SUPPORTS,Random selection,SUPPORTS,Chris Kyle was a United States Navy SEAL veteran and sniper.,True
random,REFUTES,Random selection,SUPPORTS,Wentworth Miller made his screenwriting debut with the 2013 thriller film Stoker.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Diwali is an American festival.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Jeong Hyeong-don is Japanese.,True
random,REFUTES,Random selection,REFUTES,"Marcus Bentley finished college on October 4th, 1967.",True
random,SUPPORTS,Random selection,REFUTES,The Gifted fails to be a television series.,False
random,REFUTES,Random selection,SUPPORTS,Quasimodo is featured in The Hunchback of Notre Dame.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Trevor Griffiths is a screenwriter.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Tim Roth is a director.,False
random,SUPPORTS,Random selection,REFUTES,Mud was made before Matthew McConaughey was born.,False
random,SUPPORTS,Random selection,REFUTES,Valencia is in America.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,The White House Press Secretary is a low-ranking official.,False
random,SUPPORTS,Random selection,REFUTES,TakePart is the digital division of a university.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,James Jones won the Three-Point Contest.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Julianne Moore is a Buddhist.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,"Atlanta, Georgia is a place where Due Date was shot.",False
random,REFUTES,Random selection,SUPPORTS,"Earl Scruggs's birthday is January 6th, 1924.",False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,No President of Lockheed Martin has been born after 1950.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Christian Gottlob Neefe was conceived in 1748.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Happiness in Slavery is an EP by an American band.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Saturn is smaller than Neptune.,False
random,REFUTES,Random selection,SUPPORTS,Paris (Paris Hilton album) incorporates elements of pop rock.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Private Lives is a four act tragedy from the 40s.,False
random,REFUTES,Random selection,SUPPORTS,David Spade appeared in Tommy Boy.,False
random,SUPPORTS,Random selection,REFUTES,Cadet Kelly is only a painting.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,True
random,SUPPORTS,Random selection,SUPPORTS,West Ham United F.C. is a club.,True
random,REFUTES,Random selection,REFUTES,In a Lonely Place was based on a book called The Hobbit.,True
random,SUPPORTS,Random selection,REFUTES,Efraim Diveroli only had a three-year sentence.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Rio's sequel is only called Tiny Mike.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Despicable Me 2 was written by Cinco Paul in 2014.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Artpop was reviewed by music judges.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Due Date was shot in space.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,"Bea Arthur was an actress, comedian, and singer from Hollywood.",False
random,NOT ENOUGH INFO,Random selection,REFUTES,Giada at Home aired on an American basic cable channel called the Cartoon Network.,False
random,SUPPORTS,Random selection,SUPPORTS,The 100 also follows the teens parents and leaders on The Ark.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Sheryl Lee reprised her role of Laura Palmer.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Entourage (film) was released in a specific year.,False
random,SUPPORTS,Random selection,SUPPORTS,Underdog was directed by a Belgian film director.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Daggering is nontraditional.,False
random,REFUTES,Random selection,REFUTES,Diwali spiritually signifies the defeat of light over darkness only.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Shawn Carlson is Canadian.,False
random,REFUTES,Random selection,REFUTES,Premam didn't have a theatrical run in Kerala.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Harold Macmillan was British.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Vedam stars Seth Rogan.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,"Diana, Princess of Wales's father lost the title of Earl Spencer.",False
random,REFUTES,Random selection,NOT ENOUGH INFO,Angela Bassett received a teacher's salary from Yale University.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Janelle Monáe is a trucker and surfer.,False
random,SUPPORTS,Random selection,REFUTES,"Sidse Babett Knudsen graduated on November 22nd, 1968.",False
random,REFUTES,Random selection,NOT ENOUGH INFO,Harold Macmillan served as the Prime Minister of France.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Mary-Kate Olsen and Ashley Olsen have only acted well into their adult lives.,False
random,SUPPORTS,Random selection,REFUTES,Rob Sheridan is a Canadian graphic designer.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Taran Killam is an American writer.,False
random,REFUTES,Random selection,SUPPORTS,"Eric Church died on May 3, 1977.",False
random,NOT ENOUGH INFO,Random selection,REFUTES,DJ Quik's real name is DJ Quik.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Robert Lopez has won a Tony Award.,False
random,REFUTES,Random selection,REFUTES,Ron Weasley is part of the Twilight series.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Polynesian languages include several speakers.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Margaret Thatcher was a person.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Weekly Idol was created by Jeong Hyeong-don.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Ann Richards was a Floridian.,False
random,SUPPORTS,Random selection,REFUTES,Knocked Up is a podcast.,False
random,REFUTES,Random selection,SUPPORTS,Goosebumps (film) was directed by Rob Letterman.,False
random,REFUTES,Random selection,SUPPORTS,The Road to El Dorado stars an actor.,False
random,REFUTES,Random selection,SUPPORTS,Janelle Monáe's full name is Janelle Monáe Robinson.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Don Hall is from Florida.,True
random,REFUTES,Random selection,REFUTES,The Chagatai language was spoken in Central Europe.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Gal Gadot was ranked as the fourth highest earning actress/models in Israel.,False
random,SUPPORTS,Random selection,SUPPORTS,Underdog features the voice talents of Amy Adams as a lead role.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Mani Ratnam is widely credited with revolutionising the Tamil film industry in the 1960s.,True
random,SUPPORTS,Random selection,SUPPORTS,Pharrell Williams plays drums.,True
random,REFUTES,Random selection,SUPPORTS,December was the month when Lockhead Martin F-35 Lightning II first flew.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Homo sapiens live on the third asteroid from the Sun.,True
random,SUPPORTS,Random selection,SUPPORTS,Renato Balestra came from an architect family.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Anne Rice was born in New Jersey.,False
random,REFUTES,Random selection,SUPPORTS,Earl Scruggs was a musician who played banjo.,False
random,SUPPORTS,Random selection,SUPPORTS,Reign Over Me was released.,True
random,SUPPORTS,Random selection,SUPPORTS,Despicable Me 2 was produced for Universal Pictures.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Trollhunters is only a film.,False
random,REFUTES,Random selection,SUPPORTS,Taylor Lautner appeared on television sitcoms.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Simón Bolívar's dog's name is Simon Barklivar.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,About 55 percent of the University of Mississippi's income comes from California.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Rhythm Nation was named by Girls' Generation.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Avenged Sevenfold was released by a label.,True
random,SUPPORTS,Random selection,SUPPORTS,Baz Luhrmann's film Australia stars an Australian actress and film producer.,True
random,SUPPORTS,Random selection,REFUTES,Rage Against the Machine is a choir.,False
random,REFUTES,Random selection,SUPPORTS,The Pelican Brief is based on the novel of the same name by John Grisham.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Marcus Bentley is the son of Morgan Bentley.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Bethany Hamilton wasn't a victim of a shark attack.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Tata Motors is listed on the (BSE) Bombay Stock Poster.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Starrcade was regarded by the NWA and WCW as their least important event of the year.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Topman sells cheap perfume.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Duff McKagan is Texan.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,DNA is uninvolved with Little Mix.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Rick Yune was on a show that aired on Netflix.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Christian Gottlob Neefe was a music conductor.,False
random,SUPPORTS,Random selection,SUPPORTS,Jack Falahee was born.,True
random,REFUTES,Random selection,SUPPORTS,Trace Cyrus is a sibling of Noah Cyrus.,False
random,SUPPORTS,Random selection,SUPPORTS,Miranda Otto began her film acting career at age 18.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Charles Manson is a Bowie fan.,False
random,SUPPORTS,Random selection,REFUTES,Men in Black II is a serious realistic drama.,False
random,REFUTES,Random selection,SUPPORTS,Congressional Space Medal of Honor is the highest award given only to astronauts by NASA.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,The Bassoon King is a novel.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Don Hall is the writer of Pete's Dragon.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Birthday Song (2 Chainz song) was produced by Eminem.,False
random,SUPPORTS,Random selection,REFUTES,The principal photography of The Disaster Artist (film) is incapable of starting.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,The human brain lacks a cerebellum.,False
random,REFUTES,Random selection,REFUTES,Juventus F.C. competes in the Coliseum.,True
random,SUPPORTS,Random selection,REFUTES,Invasion literature was influential in Britain in shaping technological advancement.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Smriti Mandhana has always been unable to play sports.,False
random,SUPPORTS,Random selection,SUPPORTS,1966 was the year of birth of Justine Bateman.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Paris (Paris Hilton album) incorporates rhythm and lyrics of soul.,False
random,REFUTES,Random selection,REFUTES,Trace Cyrus is the cousin of Noah Cyrus.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Artpop was reviewed by dog critics.,False
random,REFUTES,Random selection,SUPPORTS,Lookout Records helped release Kerplunk.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Vedam stars Indian film actors and actresses as animated penguins.,True
random,REFUTES,Random selection,REFUTES,Pirates of the Caribbean has only 1 version in a single park.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Pirates of the Caribbean is in Disneyland Paris since 1996.,True
random,SUPPORTS,Random selection,REFUTES,"The United Nations Charter was vetoed in San Francisco, United States.",False
random,SUPPORTS,Random selection,REFUTES,Saturn Corporation was established in April.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Ron Weasley is a wizard.,False
random,SUPPORTS,Random selection,SUPPORTS,The Food Network is a channel that ran Giada at Home.,True
random,SUPPORTS,Random selection,SUPPORTS,Uranium-235 was discovered by a person who died in March.,True
random,REFUTES,Random selection,SUPPORTS,Aunt May is a character that appeared in media adaptations of a type of creative work.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Dakota Fanning was involved with a film called Captain America.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Daggering is associated with a genre of Filipino music.,False
random,REFUTES,Random selection,SUPPORTS,Reign Over Me is a drama movie.,False
random,SUPPORTS,Random selection,SUPPORTS,Simón Bolívar's maiden name is Simón José Antonio de la Santísima Trinidad Bolívar y Palacios.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,The Dark Tower was released in 2017.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Liverpool is in the United States.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,"Mason Evans, Jr. was assassinated in Texas.",False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Savages was created in May 2012.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Kleshas are part of the plan.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Melancholia's cast includes Kiefer Sutherland.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,In the End was negatively reviewed.,True
random,SUPPORTS,Random selection,SUPPORTS,Kellyanne Conway has used a phrase.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Natural Born Killers was scored by Oliver Stone.,False
random,SUPPORTS,Random selection,SUPPORTS,Bradley Fuller is the co-owner of Platinum Dunes.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,About 55 percent of the University of Mississippi's graduates come from Mississippi.,False
random,SUPPORTS,Random selection,SUPPORTS,Mike Huckabee was Governor of Arkansas.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,The Colosseum is in a city in Italy.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,The Road to El Dorado only stars Ben Stiller.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Southampton F.C. came in second in the First Division in 1983 -- 1984.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Taylor Lautner was visible in The Bernie Mac Show.,False
random,SUPPORTS,Random selection,SUPPORTS,"Entourage (film) was released on June 3rd, 2015.",True
random,REFUTES,Random selection,SUPPORTS,"Moonlight was filmed on a beach in Miami, Florida.",False
random,NOT ENOUGH INFO,Random selection,REFUTES,EA Black Box was founded in 1999.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Queen (band) formed in London in 1970.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Marco Polo left a chronicle of his experience.,False
random,SUPPORTS,Random selection,SUPPORTS,Jewell sings.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Charles Manson is a former leader of the Manson cult.,True
random,REFUTES,Random selection,SUPPORTS,Highway to Heaven is a television series.,False
random,SUPPORTS,Random selection,REFUTES,The Endless River is an album by a band formed in Tokyo.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Halsey's debut EP is not titled Room 93.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,The Dark Tower has remained unreleased.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Janet Leigh was an actress.,False
random,SUPPORTS,Random selection,SUPPORTS,An American punk rock band made Kerplunk.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,TV Choice is a roadshow series.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Luke Cage was featured as a protagonist of a movie.,True
random,SUPPORTS,Random selection,SUPPORTS,Lalla Ward was born in 1951.,True
random,REFUTES,Random selection,REFUTES,Muscarinic acetylcholine receptors are in the cell membranes of certain codes.,True
random,SUPPORTS,Random selection,SUPPORTS,Numb (Linkin Park song) was in a 2010 music video game developed by Harmonix called Rock Band 3.,True
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Advertising is a closed sourced message.,True
random,SUPPORTS,Random selection,SUPPORTS,John Frusciante was in Stadium Arcadium.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Linkin Park's fourth single was In the End.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Liverpool was where The Beatles came together.,False
random,REFUTES,Random selection,SUPPORTS,San Diego Comic-Con was originally known as the Golden State Comic Book Convention.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,"Fortunes of War caused an event between actors,",True
random,SUPPORTS,Random selection,REFUTES,I Kissed a Girl was recorded by an Japanese singer.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,The Millers has no cancellation announcements.,False
random,REFUTES,Random selection,REFUTES,Francis I of France died in September.,True
random,SUPPORTS,Random selection,SUPPORTS,West Virginia borders Maryland to the northeast.,True
random,REFUTES,Random selection,REFUTES,Hourglass was released just 5 weeks after Taylor's previous album.,True
random,SUPPORTS,Random selection,REFUTES,No Country for Old Men is a drama.,False
random,REFUTES,Random selection,SUPPORTS,Kelly Preston was in multiple job positions.,False
random,REFUTES,Random selection,SUPPORTS,Wales has a large region.,False
random,SUPPORTS,Random selection,SUPPORTS,Halsey signed a recording contract in 2014.,True
random,REFUTES,Random selection,REFUTES,Hush (2016 film) was written by Intrepid Pictures.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Ann Richards was the head of the legislative branch of Texas's government.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Jack Falahee is dead.,False
random,SUPPORTS,Random selection,SUPPORTS,"In 2011, Colombiana was released.",True
random,SUPPORTS,Random selection,REFUTES,Middle-earth was created by J. K. Rowling.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Sheryl Lee appeared in Annie Hall.,False
random,SUPPORTS,Random selection,REFUTES,Rupert Murdoch has worked since at least 1354.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Dave Gibbons was born on April 12.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Victoria Palace Theatre is in a graveyard.,True
random,NOT ENOUGH INFO,Random selection,SUPPORTS,Franchising is regulated in over thirty countries.,False
random,REFUTES,Random selection,REFUTES,"Camden, New Jersey is the home of a school that was founded as the South Jersey Law School in 1920.",True
random,REFUTES,Random selection,SUPPORTS,Vedam stars Deeksha Seth.,False
